threshold,accuracy,precision,recall,f1,cost,tn,fp,fn,tp,selection_score
0.2,0.776875,0.5706272310045895,0.9568191534843951,0.7149017728797317,134700,3977,1684,101,2238,0.7625354681247782
0.21,0.785,0.5804104962327877,0.9551090209491235,0.7220426632191338,133250,4046,1615,105,2234,0.7699286408855047
0.22,0.792125,0.5894179894179894,0.9525438221462164,0.7282235659421474,133100,4109,1552,111,2228,0.776354132626554
0.23,0.797625,0.5968262506724045,0.9486960239418555,0.7327059600462275,134950,4162,1499,120,2219,0.7811657721881362
0.24,0.802875,0.6039847161572053,0.9461308251389483,0.7372980176578378,135550,4210,1451,126,2213,0.7858994497457767
0.25,0.809,0.6124826629680998,0.943993159469859,0.7429340511440108,135350,4264,1397,131,2208,0.7915430551916801
0.26,0.8145,0.6203208556149733,0.9422830269345874,0.748133061778683,134950,4312,1349,135,2204,0.7966659451297062
0.27,0.8185,0.6266057664858693,0.9384352287302266,0.7514549811708319,137400,4353,1308,144,2195,0.8001729926875049
0.28,0.82275,0.6332079838009835,0.9358700299273194,0.7553485162180814,138400,4393,1268,150,2189,0.8040652227204536
0.29,0.826625,0.6395894428152493,0.9324497648567764,0.7587406505479214,140450,4432,1229,158,2181,0.8075390535358177
0.3,0.830375,0.6454383886255924,0.9315946985891407,0.7625546806649169,139850,4464,1197,160,2179,0.8111412264294803
0.31,0.833375,0.6505086774386595,0.9294570329200513,0.7653582115824679,140900,4493,1168,165,2174,0.8139084157673661
0.32,0.8365,0.6559757942511346,0.926891834117144,0.7682494684620836,142350,4524,1137,171,2168,0.816777112369935
0.33,0.840375,0.662484700122399,0.9256092347156905,0.7722489744961655,142150,4558,1103,174,2165,0.820518835729035
0.34,0.84325,0.6674899660389009,0.9243266353142369,0.77518823951237,142350,4584,1077,177,2162,0.8232809661705134
0.35,0.84675,0.6738519212746017,0.9221889696451475,0.7787003610108303,143200,4617,1044,182,2157,0.8266133530203715
0.36,0.8495,0.6793048973143759,0.9191962377084224,0.78125,145250,4646,1015,189,2150,0.8291399387481113
0.37,0.851125,0.683152520740268,0.9153484395040615,0.7823862598209391,148650,4668,993,198,2141,0.8304737284128645
0.38,0.85325,0.6882067851373183,0.910645575032065,0.7839528892160471,152750,4696,965,209,2130,0.8322579212222226
0.39,0.85525,0.6926590538336053,0.9076528430953399,0.7857142857142857,155100,4719,942,216,2123,0.8340633471167019
0.4,0.85725,0.6974595842956121,0.903805044890979,0.7873370577281191,158350,4744,917,225,2114,0.8358140589482138
0.41,0.858,0.7000332557366146,0.8999572466866183,0.7875046763935653,162100,4759,902,234,2105,0.8362899664758187
0.42,0.86125,0.7076715106454884,0.8952543822146216,0.7904869762174406,165750,4796,865,245,2094,0.8392921887878114
0.43,0.862125,0.7113543091655267,0.8892689183411714,0.7904237127113813,171700,4817,844,259,2080,0.8397567899092121
0.44,0.8645,0.717655220256677,0.8845660538691749,0.7924166985829184,175700,4847,814,270,2069,0.8418923101651519
0.45,0.86575,0.7216964598668069,0.8802907225309962,0.7931432973805855,179700,4867,794,280,2059,0.8428965994748306
0.46,0.866,0.7234567901234568,0.8768704574604532,0.7928102048705064,183200,4877,784,288,2051,0.8429165401936426
0.47,0.867625,0.7275960170697012,0.8747327917913639,0.7944088526499709,184800,4895,766,293,2046,0.8444807873682757
0.48,0.868625,0.7314881380301941,0.8700299273193672,0.7947666471392306,189350,4914,747,304,2035,0.8452139556452763
0.49,0.870625,0.7376093294460642,0.8653270628473707,0.7963800904977375,193500,4941,720,315,2024,0.8470227088321245
0.5,0.871875,0.741899852724595,0.8614792646430098,0.7972304648862513,197050,4960,701,324,2015,0.8481032322302503
0.51,0.87225,0.7450688500186081,0.8559213339033775,0.7966573816155988,202750,4976,685,337,2002,0.8481407275080028
0.52,0.873625,0.7494365138993239,0.8529286019666524,0.7978404319136173,205350,4994,667,344,1995,0.8494295413768987
0.53,0.8765,0.7571374191092501,0.8503634031637451,0.8010471204188482,206900,5023,638,350,1989,0.8523839686142863
0.54,0.877375,0.7611538461538462,0.8460880718255664,0.8013767969224539,211050,5040,621,360,1979,0.8530748959921244
0.55,0.878125,0.7645461598138091,0.8426678067550235,0.8017083587553386,214350,5054,607,368,1971,0.8536887935724233
0.56,0.88,0.771136453008258,0.8383924754168448,0.8033592789840229,218100,5079,582,378,1961,0.8554976568122561
0.57,0.88125,0.7765830346475507,0.8336896109448483,0.8041237113402062,222550,5100,561,389,1950,0.8566105677011677
0.58,0.882,0.782046097856854,0.8268490808037623,0.8038237738985868,229450,5122,539,405,1934,0.8570641391178168
0.59,0.8825,0.7860940695296523,0.8217186831979478,0.8035117056856187,234650,5138,523,417,1922,0.8573450562910752
0.6,0.882125,0.7891466445733223,0.814450619923044,0.8015989901115085,242450,5152,509,434,1905,0.8565378428645567
0.61,0.8825,0.7928003348681457,0.8097477554510475,0.8011844331641286,247250,5166,495,445,1894,0.8567157359025936
0.62,0.882375,0.7964376590330788,0.8029072253099615,0.7996593570364062,254500,5181,480,461,1878,0.8562254667724736
0.63,0.882875,0.8006003430531733,0.798204360837965,0.7994005566259902,259250,5196,465,472,1867,0.8565606999674733
0.64,0.883,0.8038111736682546,0.7935014963659683,0.7986230636833046,264150,5208,453,483,1856,0.8564752547180994
0.65,0.883625,0.8087719298245614,0.7883710987601539,0.7984412210435159,269300,5225,436,495,1844,0.8569508274084903
0.66,0.8845,0.8137472283813747,0.7845233005557931,0.7988680888114933,273000,5241,420,504,1835,0.8577857575399802
0.67,0.884875,0.8187949640287769,0.7785378366823429,0.7981591058514136,279150,5258,403,518,1821,0.8579583660396347
0.68,0.884875,0.8216878402903811,0.7742625053441642,0.7972705260840854,283650,5268,393,528,1811,0.8577764975866615
0.69,0.884625,0.8277777777777777,0.7644292432663532,0.7948432985107802,294100,5289,372,551,1788,0.8570803130603797
0.7,0.884625,0.8314606741573034,0.7592988456605387,0.7937430167597765,299500,5301,360,563,1776,0.8568791370797466
0.71,0.88525,0.837850689491203,0.7533133817870885,0.7933363349842414,305550,5320,341,577,1762,0.8573977496901962
0.72,0.885125,0.8423336547733847,0.7469003847798205,0.7917516428733288,312350,5334,327,592,1747,0.8570213434045235
0.73,0.885,0.8472834067547724,0.7400598546387345,0.7900502053856686,319600,5349,312,608,1731,0.8566411536928561
0.74,0.88375,0.8485898070262247,0.7332193244976486,0.786697247706422,327300,5355,306,624,1715,0.8549086963872049
0.75,0.883375,0.8550505050505051,0.7238135955536554,0.7839777726325539,337350,5374,287,646,1693,0.8541632208652494
0.76,0.88125,0.8567026194144838,0.7131252672082087,0.7783481101259916,349450,5382,279,671,1668,0.8512498065332241
0.77,0.880375,0.8606471816283925,0.7050021376656691,0.7750881316098708,358350,5394,267,690,1649,0.8499462149692772
0.78,0.880875,0.8694029850746269,0.6973065412569475,0.773902728351127,366250,5416,245,708,1631,0.8503743992101537
0.79,0.879625,0.8726977248104009,0.68875587858059,0.7698924731182796,375750,5426,235,728,1611,0.8486160895416807
0.8,0.8785,0.876169510181618,0.6806327490380505,0.766121270452358,384750,5436,225,747,1592,0.8470283733954886
0.81,0.877,0.8829847371396269,0.6678067550235143,0.7604673807205453,398850,5454,207,777,1562,0.8448848498023094
