customer_id,order_id,order_date,current_order_is_returned,manual_prior_order_count,manual_prior_return_count,manual_prior_return_rate,dataset_hist_order_count,dataset_hist_return_rate,hist_count_match,hist_rate_abs_diff,formula_note
C0324,ORD00174,2025-01-18 08:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0324,ORD00199,2025-01-20 05:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0324,ORD00600,2025-02-25 14:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0324,ORD00817,2025-03-19 10:00:00,0,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0324,ORD00970,2025-04-03 08:00:00,1,4,0,0.0,4,0.0,True,0.0,0/4 = 0.0000
C0324,ORD01057,2025-04-11 16:00:00,1,5,1,0.2,5,0.2,True,0.0,1/5 = 0.2000
C0324,ORD01974,2025-07-15 15:00:00,1,6,2,0.333333,6,0.33,True,0.00333333,2/6 = 0.3333
C0324,ORD02119,2025-07-30 03:00:00,0,7,3,0.428571,7,0.43,True,0.00142857,3/7 = 0.4286
C0324,ORD02405,2025-08-28 19:00:00,0,8,3,0.375,8,0.38,True,0.005,3/8 = 0.3750
C0324,ORD02796,2025-10-04 19:00:00,1,9,3,0.333333,9,0.33,True,0.00333333,3/9 = 0.3333
C0324,ORD02833,2025-10-07 16:00:00,0,10,4,0.4,10,0.4,True,0.0,4/10 = 0.4000
C0324,ORD03000,2025-10-26 08:00:00,1,11,4,0.363636,11,0.36,True,0.00363636,4/11 = 0.3636
C0324,ORD03368,2025-12-01 15:00:00,0,12,5,0.416667,12,0.42,True,0.00333333,5/12 = 0.4167
C0324,ORD03402,2025-12-03 19:00:00,1,13,5,0.384615,13,0.38,True,0.00461538,5/13 = 0.3846
C0324,ORD03537,2025-12-17 07:00:00,1,14,6,0.428571,14,0.43,True,0.00142857,6/14 = 0.4286
C0324,ORD04063,2026-02-05 15:00:00,1,15,7,0.466667,15,0.47,True,0.00333333,7/15 = 0.4667
C0324,ORD04509,2026-03-20 08:00:00,1,16,8,0.5,16,0.5,True,0.0,8/16 = 0.5000
C0324,ORD04514,2026-03-20 22:00:00,1,17,9,0.529412,17,0.53,True,0.00058824,9/17 = 0.5294
C0324,ORD04688,2026-04-09 05:00:00,0,18,10,0.555556,18,0.56,True,0.00444444,10/18 = 0.5556
C0413,ORD00599,2025-02-25 11:00:00,1,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0413,ORD00731,2025-03-11 10:00:00,1,1,1,1.0,1,1.0,True,0.0,1/1 = 1.0000
C0413,ORD00875,2025-03-24 20:00:00,0,2,2,1.0,2,1.0,True,0.0,2/2 = 1.0000
C0413,ORD01890,2025-07-07 22:00:00,1,3,2,0.666667,3,0.67,True,0.00333333,2/3 = 0.6667
C0413,ORD02420,2025-08-30 08:00:00,0,4,3,0.75,4,0.75,True,0.0,3/4 = 0.7500
C0413,ORD02516,2025-09-08 01:00:00,0,5,3,0.6,5,0.6,True,0.0,3/5 = 0.6000
C0413,ORD03211,2025-11-18 08:00:00,0,6,3,0.5,6,0.5,True,0.0,3/6 = 0.5000
C0413,ORD03365,2025-12-01 11:00:00,0,7,3,0.428571,7,0.43,True,0.00142857,3/7 = 0.4286
C0413,ORD03605,2025-12-23 18:00:00,0,8,3,0.375,8,0.38,True,0.005,3/8 = 0.3750
C0413,ORD03938,2026-01-24 08:00:00,1,9,3,0.333333,9,0.33,True,0.00333333,3/9 = 0.3333
C0413,ORD04146,2026-02-14 12:00:00,0,10,4,0.4,10,0.4,True,0.0,4/10 = 0.4000
C0413,ORD04645,2026-04-05 08:00:00,0,11,4,0.363636,11,0.36,True,0.00363636,4/11 = 0.3636
C0413,ORD04997,2026-05-08 14:00:00,1,12,4,0.333333,12,0.33,True,0.00333333,4/12 = 0.3333
C0043,ORD00671,2025-03-04 16:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0043,ORD01201,2025-04-23 17:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0043,ORD01286,2025-05-03 14:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0043,ORD02329,2025-08-20 08:00:00,0,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0043,ORD02752,2025-09-30 19:00:00,0,4,0,0.0,4,0.0,True,0.0,0/4 = 0.0000
C0043,ORD02903,2025-10-15 19:00:00,1,5,0,0.0,5,0.0,True,0.0,0/5 = 0.0000
C0043,ORD03934,2026-01-23 21:00:00,1,6,1,0.166667,6,0.17,True,0.00333333,1/6 = 0.1667
C0043,ORD04424,2026-03-12 17:00:00,0,7,2,0.285714,7,0.29,True,0.00428571,2/7 = 0.2857
C0043,ORD04460,2026-03-15 18:00:00,0,8,2,0.25,8,0.25,True,0.0,2/8 = 0.2500
C0043,ORD04471,2026-03-17 01:00:00,1,9,2,0.222222,9,0.22,True,0.00222222,2/9 = 0.2222
C0043,ORD04662,2026-04-07 04:00:00,1,10,3,0.3,10,0.3,True,0.0,3/10 = 0.3000
C0309,ORD01197,2025-04-23 10:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0309,ORD01707,2025-06-19 16:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0309,ORD02128,2025-07-30 21:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0309,ORD03132,2025-11-09 23:00:00,1,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0309,ORD03509,2025-12-14 08:00:00,1,4,1,0.25,4,0.25,True,0.0,1/4 = 0.2500
C0309,ORD03512,2025-12-14 13:00:00,0,5,2,0.4,5,0.4,True,0.0,2/5 = 0.4000
C0309,ORD03541,2025-12-17 16:00:00,0,6,2,0.333333,6,0.33,True,0.00333333,2/6 = 0.3333
C0309,ORD03854,2026-01-16 01:00:00,0,7,2,0.285714,7,0.29,True,0.00428571,2/7 = 0.2857
C0309,ORD03959,2026-01-26 21:00:00,0,8,2,0.25,8,0.25,True,0.0,2/8 = 0.2500
C0309,ORD04347,2026-03-05 04:00:00,0,9,2,0.222222,9,0.22,True,0.00222222,2/9 = 0.2222
C0309,ORD04493,2026-03-19 08:00:00,0,10,2,0.2,10,0.2,True,0.0,2/10 = 0.2000
C0270,ORD00038,2025-01-06 08:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0270,ORD00650,2025-03-03 05:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0270,ORD01056,2025-04-11 13:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0270,ORD01187,2025-04-22 14:00:00,1,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0270,ORD01437,2025-05-21 02:00:00,1,4,1,0.25,4,0.25,True,0.0,1/4 = 0.2500
C0270,ORD01876,2025-07-06 22:00:00,1,5,2,0.4,5,0.4,True,0.0,2/5 = 0.4000
C0270,ORD02369,2025-08-24 03:00:00,0,6,3,0.5,6,0.5,True,0.0,3/6 = 0.5000
C0270,ORD02408,2025-08-29 03:00:00,1,7,3,0.428571,7,0.43,True,0.00142857,3/7 = 0.4286
C0270,ORD04286,2026-02-27 06:00:00,0,8,4,0.5,8,0.5,True,0.0,4/8 = 0.5000
C0270,ORD04757,2026-04-15 14:00:00,1,9,4,0.444444,9,0.44,True,0.00444444,4/9 = 0.4444
C0086,ORD00381,2025-02-07 02:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0086,ORD01654,2025-06-14 04:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0086,ORD01666,2025-06-15 12:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0086,ORD02250,2025-08-12 07:00:00,1,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0086,ORD02348,2025-08-22 13:00:00,0,4,1,0.25,4,0.25,True,0.0,1/4 = 0.2500
C0086,ORD03711,2026-01-03 17:00:00,0,5,1,0.2,5,0.2,True,0.0,1/5 = 0.2000
C0086,ORD04185,2026-02-17 14:00:00,0,6,1,0.166667,6,0.17,True,0.00333333,1/6 = 0.1667
C0086,ORD04227,2026-02-21 17:00:00,0,7,1,0.142857,7,0.14,True,0.00285714,1/7 = 0.1429
C0086,ORD04607,2026-04-01 04:00:00,0,8,1,0.125,8,0.13,True,0.005,1/8 = 0.1250
C0086,ORD04750,2026-04-15 02:00:00,0,9,1,0.111111,9,0.11,True,0.00111111,1/9 = 0.1111
C0334,ORD00394,2025-02-07 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0334,ORD00407,2025-02-09 02:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0334,ORD00864,2025-03-23 14:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0334,ORD02695,2025-09-26 08:00:00,0,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0334,ORD02925,2025-10-17 12:00:00,0,4,0,0.0,4,0.0,True,0.0,0/4 = 0.0000
C0334,ORD02979,2025-10-24 08:00:00,0,5,0,0.0,5,0.0,True,0.0,0/5 = 0.0000
C0334,ORD03081,2025-11-04 12:00:00,1,6,0,0.0,6,0.0,True,0.0,0/6 = 0.0000
C0334,ORD03974,2026-01-28 12:00:00,0,7,1,0.142857,7,0.14,True,0.00285714,1/7 = 0.1429
C0334,ORD04778,2026-04-17 13:00:00,0,8,1,0.125,8,0.13,True,0.005,1/8 = 0.1250
C0094,ORD01482,2025-05-26 00:00:00,1,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0094,ORD02109,2025-07-29 01:00:00,0,1,1,1.0,1,1.0,True,0.0,1/1 = 1.0000
C0094,ORD02719,2025-09-28 09:00:00,1,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0094,ORD03252,2025-11-22 02:00:00,1,3,2,0.666667,3,0.67,True,0.00333333,2/3 = 0.6667
C0094,ORD03983,2026-01-29 08:00:00,1,4,3,0.75,4,0.75,True,0.0,3/4 = 0.7500
C0094,ORD04123,2026-02-11 15:00:00,0,5,4,0.8,5,0.8,True,0.0,4/5 = 0.8000
C0094,ORD04523,2026-03-22 01:00:00,1,6,4,0.666667,6,0.67,True,0.00333333,4/6 = 0.6667
C0094,ORD04595,2026-03-31 03:00:00,0,7,5,0.714286,7,0.71,True,0.00428571,5/7 = 0.7143
C0163,ORD00027,2025-01-04 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0163,ORD00253,2025-01-25 17:00:00,1,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0163,ORD00554,2025-02-21 19:00:00,0,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0163,ORD00879,2025-03-25 03:00:00,1,3,1,0.333333,3,0.33,True,0.00333333,1/3 = 0.3333
C0163,ORD01449,2025-05-21 22:00:00,0,4,2,0.5,4,0.5,True,0.0,2/4 = 0.5000
C0163,ORD03085,2025-11-05 06:00:00,1,5,2,0.4,5,0.4,True,0.0,2/5 = 0.4000
C0163,ORD03165,2025-11-13 08:00:00,0,6,3,0.5,6,0.5,True,0.0,3/6 = 0.5000
C0052,ORD00009,2025-01-01 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0052,ORD00977,2025-04-03 20:00:00,1,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0052,ORD01181,2025-04-22 08:00:00,0,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0052,ORD02914,2025-10-16 10:00:00,1,3,1,0.333333,3,0.33,True,0.00333333,1/3 = 0.3333
C0052,ORD03954,2026-01-26 07:00:00,1,4,2,0.5,4,0.5,True,0.0,2/4 = 0.5000
C0052,ORD04450,2026-03-14 19:00:00,1,5,3,0.6,5,0.6,True,0.0,3/5 = 0.6000
